"","x"
"1","abortion women state law court"
"2","life people religious make good"
"3","house republican republicans senate bill"
"4","street city church brooklyn art"
"5","people man day told gun"
"6","republican women campaign romney party"
"7","planned parenthood health services care"
"8","family planned school years parenthood"
"9","obama president romney federal government"
"10","women sex education school young"
